,IF,ID,EX,MEM,WB
Ciclo: 1,addi,,,,
Ciclo: 2,addi,addi,,,
Ciclo: 3,beq,addi,addi,,
Ciclo: 4,addi,beq,addi,addi,
Ciclo: 5,subi,addi,beq,addi,addi
Ciclo: 6,mul,subi,addi,beq,addi
Ciclo: 7,add,mul,subi,addi,beq
Ciclo: 8,addi,add,mul,subi,addi
Ciclo: 9,sw,addi,add,mul,subi
Ciclo: 10,,sw,addi,add,mul
Ciclo: 11,,,sw,addi,add
Ciclo: 12,,,,sw,addi
Ciclo: 13,,,,,sw
Ciclo: 14,,,,,
,IF,ID,EX,MEM,WB
Ciclo: 1,addi,,,,
Ciclo: 2,addi,addi,,,
Ciclo: 3,beq,addi,addi,,
Ciclo: 4,addi,beq,addi,addi,
Ciclo: 5,subi,addi,beq,addi,addi
Ciclo: 6,mul,subi,addi,beq,addi
Ciclo: 7,add,mul,subi,addi,beq
Ciclo: 8,addi,add,mul,subi,addi
Ciclo: 9,sw,addi,add,mul,subi
Ciclo: 10,,sw,addi,add,mul
Ciclo: 11,,,sw,addi,add
Ciclo: 12,,,,sw,addi
Ciclo: 13,,,,,sw
Ciclo: 14,,,,,
,IF,ID,EX,MEM,WB
Ciclo: 1,addi,,,,
Ciclo: 2,addi,addi,,,
Ciclo: 3,beq,addi,addi,,
Ciclo: 4,addi,beq,addi,addi,
Ciclo: 5,subi,addi,beq,addi,addi
Ciclo: 6,,nop,nop,nop,addi
Ciclo: 7,,,nop,nop,nop
Ciclo: 8,,,,nop,nop
Ciclo: 9,,,,,nop
Ciclo: 10,,,,,
,IF,ID,EX,MEM,WB
Ciclo: 1,lw,,,,
Ciclo: 2,add,lw,,,
Ciclo: 3,addi,add,lw,,
Ciclo: 4,sub,addi,add,lw,
Ciclo: 5,sw,sub,addi,add,lw
Ciclo: 6,addi,sw,sub,addi,add
Ciclo: 7,,addi,sw,sub,addi
Ciclo: 8,,,addi,sw,sub
Ciclo: 9,,,,addi,sw
Ciclo: 10,,,,,addi
Ciclo: 11,,,,,
,IF,ID,EX,MEM,WB
Ciclo: 1,addi,,,,
Ciclo: 2,addi,addi,,,
Ciclo: 3,beq,addi,addi,,
Ciclo: 4,addi,beq,addi,addi,
Ciclo: 5,subi,addi,beq,addi,addi
Ciclo: 6,,FLUSH,FLUSH,FLUSH,addi
Ciclo: 7,,,FLUSH,FLUSH,FLUSH
Ciclo: 8,,,,FLUSH,FLUSH
Ciclo: 9,,,,,FLUSH
Ciclo: 10,,,,,
,IF,ID,EX,MEM,WB
Ciclo: 1,addi,,,,
Ciclo: 2,addi,addi,,,
Ciclo: 3,beq,addi,addi,,
Ciclo: 4,addi,beq,addi,addi,
Ciclo: 5,subi,addi,beq,addi,addi
Ciclo: 6,sw,FLUSH,FLUSH,FLUSH,addi
Ciclo: 7,,sw,FLUSH,FLUSH,FLUSH
Ciclo: 8,,,sw,FLUSH,FLUSH
Ciclo: 9,,,,sw,FLUSH
Ciclo: 10,,,,,sw
Ciclo: 11,,,,,
,IF,ID,EX,MEM,WB
Ciclo: 1,addi,,,,
Ciclo: 2,addi,addi,,,
Ciclo: 3,beq,addi,addi,,
Ciclo: 4,addi,beq,addi,addi,
Ciclo: 5,subi,addi,beq,addi,addi
